age,male,female,all,city,district
65-69,160,195,355,Kütahya,Pazarlar
70-74,122,165,287,Kütahya,Pazarlar
75+,167,255,422,Kütahya,Pazarlar
18-24,1393,1418,2811,Karaman,Ermenek
25-29,931,852,1783,Karaman,Ermenek
30-34,939,859,1798,Karaman,Ermenek
35-39,973,906,1879,Karaman,Ermenek
40-44,875,821,1696,Karaman,Ermenek
45-49,946,926,1872,Karaman,Ermenek
50-54,925,910,1835,Karaman,Ermenek
55-59,756,734,1490,Karaman,Ermenek
60-64,694,782,1476,Karaman,Ermenek
65-69,574,677,1251,Karaman,Ermenek
70-74,521,675,1196,Karaman,Ermenek
75+,973,1148,2121,Karaman,Ermenek
18-24,397,395,792,Malatya,Kuluncak
25-29,205,176,381,Malatya,Kuluncak
30-34,203,161,364,Malatya,Kuluncak
35-39,212,207,419,Malatya,Kuluncak
40-44,208,193,401,Malatya,Kuluncak
45-49,227,243,470,Malatya,Kuluncak
50-54,272,263,535,Malatya,Kuluncak
55-59,259,264,523,Malatya,Kuluncak
60-64,272,280,552,Malatya,Kuluncak
65-69,236,244,480,Malatya,Kuluncak
70-74,189,237,426,Malatya,Kuluncak
75+,271,382,653,Malatya,Kuluncak
18-24,9754,9963,19717,Bingöl,Bingöl Merkez
25-29,7208,7449,14657,Bingöl,Bingöl Merkez
30-34,6639,6510,13149,Bingöl,Bingöl Merkez
35-39,6449,6461,12910,Bingöl,Bingöl Merkez
40-44,4827,5052,9879,Bingöl,Bingöl Merkez
45-49,4130,3973,8103,Bingöl,Bingöl Merkez
50-54,3467,3251,6718,Bingöl,Bingöl Merkez
55-59,2553,2498,5051,Bingöl,Bingöl Merkez
60-64,1962,2183,4145,Bingöl,Bingöl Merkez
65-69,1400,1689,3089,Bingöl,Bingöl Merkez
70-74,1007,1220,2227,Bingöl,Bingöl Merkez
75+,1470,1772,3242,Bingöl,Bingöl Merkez
18-24,2096,1938,4034,Kahramanmaraş,Andırın
25-29,954,825,1779,Kahramanmaraş,Andırın
30-34,980,863,1843,Kahramanmaraş,Andırın
35-39,1055,990,2045,Kahramanmaraş,Andırın
40-44,963,953,1916,Kahramanmaraş,Andırın
45-49,1031,1134,2165,Kahramanmaraş,Andırın
50-54,1032,1068,2100,Kahramanmaraş,Andırın
55-59,1060,983,2043,Kahramanmaraş,Andırın
60-64,978,1034,2012,Kahramanmaraş,Andırın
65-69,762,921,1683,Kahramanmaraş,Andırın
70-74,588,743,1331,Kahramanmaraş,Andırın
75+,1014,1132,2146,Kahramanmaraş,Andırın
18-24,441,396,837,Giresun,Güce
25-29,265,186,451,Giresun,Güce
30-34,203,177,380,Giresun,Güce
35-39,208,210,418,Giresun,Güce
