age,male,female,all,city,district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ
35-39,88,73,161,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
40-44,84,92,176,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
45-49,73,71,144,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
50-54,84,85,169,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
55-59,105,113,218,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
60-64,132,128,260,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
65-69,86,108,194,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
70-74,82,102,184,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
75+,117,218,335,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
18-24,1092,815,1907,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
25-29,757,484,1241,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
30-34,348,332,680,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
35-39,270,285,555,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
40-44,188,217,405,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
45-49,154,136,290,Şırnak,Güçlükonak,30.0,6363.0,5510.0,5336.0,1185.0,220.0,15.0,6.0,3699.0,107.0,10.0,79.0,11.0,3.0,1.0
